PLU NO.,ITEM CODE,ENGLISH DESC,KOR DESC, ORIGIN , CATE(ENG) ,CATE(KOR),CATE(NO),LOCAL PLU,ORGANIC
1000,,NAPA,배추,, NAPA CABBAGE ,배추,4-10-01,11000,91000
1001,,GREEN NAPA,그린배추,, NAPA CABBAGE ,배추,4-10-01,11001,91001
1002,,KOREAN NAPA,한국배추,, NAPA CABBAGE ,배추,4-10-01,11002,91002
1003,,LITTLE NAPA,작은배추,, NAPA CABBAGE ,배추,4-10-01,11003,91003
1004,,BABY NAPA,알배추,, NAPA CABBAGE ,배추,4-10-01,11004,91004
1005,,CHINESE LONG NAPA,중국배추,, NAPA CABBAGE ,배추,4-10-01,11005,91005
1006,,EARLY SPRING NAPA,봄동,, NAPA CABBAGE ,배추,4-10-01,11006,91006
1007,,RESERVE(NAPA CABBAGE),RESERVE(NAPA CABBAGE),, NAPA CABBAGE ,배추,4-10-01,11007,91007
1008,,RESERVE(NAPA CABBAGE),RESERVE(NAPA CABBAGE),, NAPA CABBAGE ,배추,4-10-01,11008,91008
1009,,RESERVE(NAPA CABBAGE),RESERVE(NAPA CABBAGE),, NAPA CABBAGE ,배추,4-10-01,11009,91009
1010,,CABBAGE,양배추,, CABBAGE ,양배추,4-10-02,11010,91010
1011,,GREEN CABBAGE,그린양배추,, CABBAGE ,양배추,4-10-02,11011,91011
1012,,JUMBO GREEN CABBAGE,그린점보양배추,, CABBAGE ,양배추,4-10-02,11012,91012
1013,,RED CABBAGE,레드양배추,, CABBAGE ,양배추,4-10-02,11013,91013
1014,,JUMBO RED CABBAGE,레드점보양배추,, CABBAGE ,양배추,4-10-02,11014,91014
1015,,TAIWAN CABBAGE,대만양배추,, CABBAGE ,양배추,4-10-02,11015,91015
1016,,SAVOY CABBAGE,사보이양배추,, CABBAGE ,양배추,4-10-02,11016,91016
1017,,BRUSSEL SPROUTS,방울양배추,, CABBAGE ,양배추,4-10-02,11017,91017
1018,,RESERVE(CABBAGE),RESERVE(CABBAGE),, CABBAGE ,양배추,4-10-02,11018,91018
1019,,RESERVE(CABBAGE),RESERVE(CABBAGE),, CABBAGE ,양배추,4-10-02,11019,91019
1020,,RESERVE(CABBAGE),RESERVE(CABBAGE),, CABBAGE ,양배추,4-10-02,11020,91020
1021,,RESERVE(CABBAGE),RESERVE(CABBAGE),, CABBAGE ,양배추,4-10-02,11021,91021
1022,,RESERVE(CABBAGE),RESERVE(CABBAGE),, CABBAGE ,양배추,4-10-02,11022,91022
1023,,RESERVE(CABBAGE),RESERVE(CABBAGE),, CABBAGE ,양배추,4-10-02,11023,91023
1024,,RESERVE(CABBAGE),RESERVE(CABBAGE),, CABBAGE ,양배추,4-10-02,11024,91024
1025,,CHOY,청경채,, CHOY ,초이,4-10-03,11025,91025
1026,,SHANGHAI BOK CHOY,상하이청경채,, CHOY ,초이,4-10-03,11026,91026
1027,,BOK CHOY,청경채,, CHOY ,초이,4-10-03,11027,91027
1028,,BOK CHOY TIP,청경채잎,, CHOY ,초이,4-10-03,11028,91028
1029,,BOK CHOY LONG,긴청경채,, CHOY ,초이,4-10-03,11029,91029
1030,,BABY BOK CHOY,작은청경채,, CHOY ,초이,4-10-03,11030,91030
1031,,BABY BOK CHOY TIP,작은청경채잎,, CHOY ,초이,4-10-03,11031,91031
1032,,BIG BOK CHOY,큰청경채,, CHOY ,초이,4-10-03,11032,91032
1033,,BIG BOK CHOY TIP,큰청경채잎,, CHOY ,초이,4-10-03,11033,91033
1034,,RED BOK CHOY,레드청경채,, CHOY ,초이,4-10-03,11034,91034
